OMX-BOL-R7-32-1T-011: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-012: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-013: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-014: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-015: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-016: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-1T-017: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-1T-018: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-1T-019: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-020: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-021: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-2T-001: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5050
OMX-BOL-R7-32-2T-002: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5050
OMX-BOL-R7-32-2T-003: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5050
OMX-BOL-R7-32-2T-004: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-5T-001: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-5700-1T-001: cpu=R7-5700G, ram=5700, ssd=?, gpu=
OMX-BOL-R7-5700-1T-002: cpu=R7-5700G, ram=5700, ssd=?, gpu=
OMX-BOL-R7-5700-1T-003: cpu=R7-5700G, ram=5700, ssd=?, gpu=
OMX-BOL-R7-5700-1T-004: cpu=R7-5700G, ram=5700, ssd=?, gpu=
OMX-BOL-R7-5700-1T-005: cpu=R7-5700G, ram=5700, ssd=?, gpu=
OMX-BOL-R7-5700-1T-006: cpu=R7-5700G, ram=5700, ssd=?, gpu=
OMX-BOL-R7-5700-1T-007: cpu=R7-5700G, ram=5700, ssd=?, gpu=
OMX-BOL-R7-5700-512-001: cpu=R7-5700G, ram=5700, ssd=?, gpu=
OMX-BOL-UNK-0-0-001: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-002: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-003: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-004: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-005: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-006: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-007: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-008: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-009: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-010: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-011: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-012: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-013: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-014: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-015: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-016: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-017: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-018: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-019: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-020: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-021: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-0-0-022: cpu=-, ram=0, ssd=?, gpu=
OMX-BOL-UNK-8-0-001: cpu=-, ram=8, ssd=?, gpu=
OMX-BOL-UNK-8-0-002: cpu=-, ram=8, ssd=?, gpu=
OMX-BOL-UNK-8-0-003: cpu=-, ram=8, ssd=?, gpu=
OMX-BOL-UNK-8-0-004: cpu=-, ram=8, ssd=?, gpu=
OMX-BOL-UNK-8-0-005: cpu=-, ram=8, ssd=?, gpu=
OMX-BOL-UNK-8-0-006: cpu=-, ram=8, ssd=?, gpu=
OMX-BOL-UNK-8-0-007: cpu=-, ram=8, ssd=?, gpu=
OMX-BOU-R3-3200-256-001: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-002: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-003: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-004: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-005: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-006: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-007: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-008: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-009: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-010: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-011: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-012: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-013: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-014: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-015: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-016: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-017: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-018: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-019: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-020: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-021: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-022: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-023: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-024: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-025: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-026: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-027: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-028: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-029: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-030: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-031: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-256-032: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-2T-001: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-2T-002: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-2T-003: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-2T-004: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-2T-005: cpu=R3-3200G, ram=3200, ssd=?, gpu=
OMX-BOU-R3-3200-2T-006: cpu=R3-3200G, ram=3200, ssd=?, gpu=
